date,keyword,google_trend,etsy_reviews,amazon_bsr,demand,competition,growth,trend,opportunity,seasonality,buyer_intent,collection,material,style,recommended_product,price_range,reason,etsy_price,etsy_sales,amazon_reviews,category,_ai_failed
2026-07-16,halloween mug,,,,75,60,70,80,65,high,gift,holiday,ceramic,themed,mug,15-25,Halloween-themed items see a spike in demand during the fall season.,,,,,
2026-07-16,ghost mirror,,,,50,40,55,60,45,medium,decor,home decor,glass,spooky,mirror,30-50,"Ghost motifs are popular in home decor, especially around Halloween.",,,,,
2026-07-16,teacher tumbler,,,,80,50,65,75,70,medium,gift,gifts,stainless steel,functional,tumbler,20-30,Teacher appreciation gifts are consistently popular throughout the school year.,,,,,
2026-07-27,halloween mug set,,,,60,40,50,55,65,high,gift,Halloween,ceramic,set,mug set,$15-$30,This keyword shows moderate demand with seasonal relevance.,,,,,
2026-07-27,ghost mirror sliding door,,,,55,45,50,50,60,low,home decor,home decor,glass,modern,mirror,$50-$100,This keyword indicates a niche demand with specific application.,,,,,
2026-07-27,teacher tumbler cup,,,,65,50,55,60,70,medium,gift,gifts,stainless steel,personalized,tumbler cup,$10-$25,This keyword has good demand and is popular among gift buyers.,,,,,
2026-07-27,halloween mug,,,,50,60,45,50,55,high,gift,Halloween,ceramic,themed,mug,$10-$20,This is a popular seasonal item with moderate competition.,,,,,
2026-07-27,ghost mirror,,,,45,55,40,45,50,low,home decor,home decor,glass,modern,mirror,$30-$70,This keyword has lower demand but is still relevant in home decor.,,,,,
2026-07-27,teacher tumbler,,,,55,50,50,55,60,medium,gift,gifts,plastic,personalized,tumbler,$10-$20,This keyword has a decent demand and is suitable for gifting.,,,,,
2026-07-27,halloween mugs,,,,40,50,45,40,45,high,gift,Halloween,ceramic,themed,mug,$10-$20,This keyword indicates a specific seasonal interest with lower competition.,,,,,
2026-07-27,halloween mugen,,,,30,30,35,30,35,high,gift,Halloween,ceramic,themed,mug,$10-$20,"This keyword has lower demand and is less common, indicating niche interest.",,,,,
2026-07-27,halloween mugs target,,,,20,10,15,10,25,high,low,,,,mugs,10-20,Limited cross-platform presence indicates niche interest.,,,,,
2026-07-27,halloween mugshots,,,,15,10,10,5,20,high,low,,,,mugs,10-20,Niche keyword with limited visibility across platforms.,,,,,
2026-07-27,halloween mugen gbf,,,,10,5,5,5,15,low,very low,,,,mugs,10-20,Highly specific and likely limited audience.,,,,,
2026-07-27,halloween mugs tk maxx,,,,15,10,10,5,20,high,low,,,,mugs,10-20,Limited to TK Maxx suggests a specific retail interest.,,,,,
2026-07-27,halloween mugs indigo,,,,15,10,10,5,20,high,low,,,,mugs,10-20,Specific to Indigo suggests limited broader appeal.,,,,,
2026-07-27,halloween mug asda,,,,15,10,10,5,20,high,low,,,,mugs,10-20,Asda-specific keywords suggest limited reach.,,,,,
2026-07-27,halloween mug emma bridgewater,,,,20,15,15,10,25,high,medium,,,,mugs,20-30,Brand-specific interest may attract dedicated buyers.,,,,,
2026-07-27,halloween mugs set of 4,,,,30,25,20,15,35,high,high,,,,mugs,30-50,Broader appeal with higher demand for sets.,,,,,
2026-07-27,johanna parker halloween mugs,,,,20,30,10,5,15,high,low,,,,mugs,$10-$20,Specific brand appeal limits broader demand.,,,,,
2026-07-27,halloween mugs coffee,,,,20,30,10,5,15,high,low,,,,mugs,$10-$20,Generic term with low search volume.,,,,,
2026-07-27,vintage halloween mug,,,,20,30,10,5,15,high,low,,,,mugs,$10-$25,Niche appeal may limit broader market potential.,,,,,
2026-07-27,snoopy halloween mug,,,,20,30,10,5,15,high,low,,,,mugs,$10-$20,Character-specific mugs have limited audience.,,,,,
2026-07-27,cute halloween mugs,,,,20,30,10,5,15,high,low,,,,mugs,$10-$20,General appeal but low specific search volume.,,,,,
2026-07-27,halloween mugs bulk,,,,20,30,10,5,15,high,low,,,,mugs,$5-$15,Bulk purchases indicate specific use cases but limited demand.,,,,,
2026-07-27,halloween mug 20oz,,,,20,30,10,5,15,high,low,,,,mugs,$10-$20,Specific size may limit broader appeal.,,,,,
2026-07-27,ghost mirror game,,,,20,30,10,5,15,medium,medium,,,,game,$10-$25,Interest in games may indicate niche market potential.,,,,,
